INT	FLOAT	FLOAT
Level	倍率A	倍率B
1	0.500000	0.500000	
2	0.500000	0.500000	
3	0.500000	0.500000	
4	0.500000	0.500000	
5	0.500000	0.500000	
6	0.500000	0.500000	
7	0.500000	0.500000	
8	0.500000	0.500000	
9	0.500000	0.500000	
10	0.500000	0.500000	
11	0.500000	0.500000	
12	0.500000	0.500000	
13	0.500000	0.500000	
14	0.500000	0.500000	
15	0.500000	0.500000	
16	0.500000	0.500000	
17	0.500000	0.500000	
18	0.500000	0.500000	
19	0.500000	0.500000	
20	0.500000	0.500000	
21	0.500000	0.500000	
22	0.500000	0.500000	
23	0.500000	0.500000	
24	0.500000	0.500000	
25	0.500000	0.500000	
26	0.500000	0.500000	
27	0.500000	0.500000	
28	0.500000	0.500000	
29	0.500000	0.500000	
30	0.500000	0.500000	
31	0.500000	0.500000	
32	0.500000	0.500000	
33	0.500000	0.500000	
34	0.500000	0.500000	
35	0.500000	0.500000	
36	0.500000	0.500000	
37	0.500000	0.500000	
38	0.500000	0.500000	
39	0.500000	0.500000	
40	0.500000	0.500000	
41	0.500000	0.500000	
42	0.500000	0.500000	
43	0.500000	0.500000	
44	0.500000	0.500000	
45	0.500000	0.500000	
46	0.500000	0.500000	
47	0.500000	0.500000	
48	0.500000	0.500000	
49	0.500000	0.500000	
50	0.500000	0.500000	
51	0.510000	0.500000	
52	0.520000	0.500000	
53	0.530000	0.500000	
54	0.540000	0.500000	
55	0.550000	0.500000	
56	0.560000	0.500000	
57	0.570000	0.500000	
58	0.580000	0.500000	
59	0.590000	0.500000	
60	0.600000	0.500000	
61	0.610000	0.510000	
62	0.620000	0.520000	
63	0.630000	0.530000	
64	0.640000	0.540000	
65	0.650000	0.550000	
66	0.660000	0.560000	
67	0.670000	0.570000	
68	0.680000	0.580000	
69	0.690000	0.590000	
70	0.700000	0.600000	
71	0.710000	0.610000	
72	0.720000	0.620000	
73	0.730000	0.630000	
74	0.740000	0.640000	
75	0.750000	0.650000	
76	0.760000	0.660000	
77	0.770000	0.670000	
78	0.780000	0.680000	
79	0.790000	0.690000	
80	0.800000	0.700000	
81	0.810000	0.710000	
82	0.820000	0.720000	
83	0.830000	0.730000	
84	0.840000	0.740000	
85	0.850000	0.750000	
86	0.860000	0.760000	
87	0.870000	0.770000	
88	0.880000	0.780000	
89	0.890000	0.790000	
90	0.900000	0.800000	
91	0.910000	0.810000	
92	0.920000	0.820000	
93	0.930000	0.830000	
94	0.940000	0.840000	
95	0.950000	0.850000	
96	0.960000	0.860000	
97	0.970000	0.870000	
98	0.980000	0.880000	
99	0.990000	0.890000	
100	1.000000	0.900000	
101	1.010000	0.910000	
102	1.020000	0.920000	
103	1.030000	0.930000	
104	1.040000	0.940000	
105	1.050000	0.950000	
106	1.060000	0.960000	
107	1.070000	0.970000	
108	1.080000	0.980000	
109	1.090000	0.990000	
110	1.100000	1.000000	
111	1.110000	1.010000	
112	1.120000	1.020000	
113	1.130000	1.030000	
114	1.140000	1.040000	
115	1.150000	1.050000	
116	1.160000	1.060000	
117	1.170000	1.070000	
118	1.180000	1.080000	
119	1.190000	1.090000	
120	1.200000	1.100000	
121	1.210000	1.110000	
122	1.220000	1.120000	
123	1.230000	1.130000	
124	1.240000	1.140000	
125	1.250000	1.150000	
126	1.260000	1.160000	
127	1.270000	1.170000	
128	1.280000	1.180000	
129	1.290000	1.190000	
130	1.300000	1.200000	
131	1.310000	1.210000	
132	1.320000	1.220000	
133	1.330000	1.230000	
134	1.340000	1.240000	
135	1.350000	1.250000	
136	1.360000	1.260000	
137	1.370000	1.270000	
138	1.380000	1.280000	
139	1.390000	1.290000	
140	1.400000	1.300000	
141	1.410000	1.310000	
142	1.420000	1.320000	
143	1.430000	1.330000	
144	1.440000	1.340000	
145	1.450000	1.350000	
146	1.460000	1.360000	
147	1.470000	1.370000	
148	1.480000	1.380000	
149	1.490000	1.390000	
150	1.500000	1.400000	
