INT	INT	STRING	INT
Idx	Id	名称	数量
1	30900218	生津	1
2	30900219	颐神	1
3	30900220	御抗	1
4	30900221	汲取	1
5	30900223	无影	1
6	30900224	通脉	1
7	30900225	复健	1
8	30900226	逐光	1
9	30900227	破禁	1
10	30900228	安神	1
11	30900229	崩溅	1
12	30900230	残毒	1
13	30900231	焚内	1
14	30900232	乘虚	1
15	30900233	决心	1
16	30900234	猛击	1
17	30900235	凝望	1
18	30900236	破釜	1
19	30900237	沉舟	1
20	30900238	穿心	1
21	30900239	哀冰	1
22	30900240	泣火	1
23	30900241	悲玄	1
24	30900242	凄毒	1
25	30900243	迅影	1
26	30900244	疾行	1
27	30900246	骛远	1
28	30900248	闭熄	1
29	30900249	僵死	1
30	30900250	遥夜	1
31	30900251	永锢	1
32	30900252	散弃	1
