INT	INT	INT	STRING
INT	INT	INT	STRING
30001001	1	150	立即恢复生命450点。	
30001002	1	140	立即恢复生命964点。	
30001003	1	130	立即恢复生命1478点。	
30001004	1	120	立即恢复生命1992点。	
30001005	1	110	立即恢复生命2506点。	
30001006	1	100	立即恢复生命3020点。	
30001007	1	90	立即恢复生命3534点。	
30001008	1	80	立即恢复生命4048点。	
30001009	1	70	立即恢复生命4562点。	
30001010	1	60	立即恢复生命5076点。	
30001011	1	50	立即恢复生命2506点。	
30001012	1	40	立即恢复生命3020点。	
30001013	1	30	立即恢复生命3534点。	
30001014	1	20	立即恢复生命4048点。	
30001015	1	10	立即恢复生命4562点。	
30002001	2	150	立即恢复气184点。	
30002002	2	140	立即恢复气376点。	
30002003	2	130	立即恢复气568点。	
30002004	2	120	立即恢复气760点。	
30002005	2	110	立即恢复气952点。	
30002006	2	100	立即恢复气1144点。	
30002007	2	90	立即恢复气1336点。	
30002008	2	80	立即恢复气1528点。	
30002009	2	70	立即恢复气1720点。	
30002010	2	60	立即恢复气1912点。	
30002011	2	50	立即恢复气952点。	
30002012	2	40	立即恢复气1144点。	
30002013	2	30	立即恢复气1336点。	
30002014	2	20	立即恢复气1528点。	
30002015	2	10	立即恢复气1720点。	
30602004	3	40	立即恢复宠物生命#G55332点#W。	
30603004	3	30	立即恢复宠物生命#G55332点#W。	
30604004	3	20	立即恢复宠物生命#G55332点#W。	
30605004	3	10	立即恢复宠物生命#G55332点#W。	
30607000	3	70	立即恢复宠物生命#G5000点#W。	
30607001	3	50	立即恢复宠物生命#G10000点#W。	
30607002	3	60	立即恢复宠物生命#G5000点#W。	
30607004	3	90	立即恢复宠物#G5000点生命值#W且额外恢复宠物#G5%#W的生命值。	
30607005	3	80	立即恢复宠物#G10000点生命值#W且额外恢复宠物#G5%#W的生命值。	
31000000	1	190	立即恢复生命2500点。	
31000001	1	160	立即恢复生命5000点。	
31000002	2	180	立即恢复气1000点。	
31000003	2	170	立即恢复气2000点。	
31000006	1	170	立即恢复生命1500点。	
31000007	2	160	立即恢复气1000点。	
