INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
Index	SkillID	远程攻击技能	门派ID	INT	INT	INT	INT	INT	STRING
0	281	3266	0	1	0	0	0	0	伏虎拳	
1	282	0	0	2	0	5	3	0	金刚伏魔圈	
2	283	0	0	1	0	0	0	0	大力金刚掌	
3	291	0	0	1	0	0	0	0	摩诃无量	
4	295	0	0	1	0	0	0	0	一拍两散	
5	311	3269	1	1	0	0	0	0	催心掌	
6	312	0	1	2	0	5	3	0	血战八方	
7	313	0	1	1	0	0	0	0	炎龙无双	
8	321	0	1	1	0	0	0	0	水淹七军	
9	325	0	1	1	0	0	0	0	火烧赤壁	
10	341	3267	2	1	0	0	0	0	蟠龙击	
11	342	0	2	2	0	5	3	0	千里横行	
12	343	0	2	1	0	0	0	0	冲阵斩将	
13	347	0	2	1	0	0	0	0	飞龙在天	
14	351	0	2	1	0	0	0	0	青龙出水	
15	355	0	2	1	0	0	0	0	震惊百里	
16	361	0	2	2	0	5	3	0	天下无狗	
17	364	0	2	1	0	0	0	0	棒打狗头	
18	365	0	2	3	90	0	0	0	横扫乾坤	
19	371	0	3	1	0	0	0	0	八卦掌	
20	372	0	3	2	0	5	3	0	真武七截阵	
21	373	0	3	1	0	0	0	0	两仪剑	
22	374	0	3	2	5	5	3	0	三环套月	
23	377	0	3	1	0	0	0	0	天马飞瀑	
24	381	0	3	1	0	0	0	0	仙人指路	
25	385	0	3	1	0	0	0	0	玉女穿梭	
26	391	0	3	1	0	0	0	0	天外飞仙	
27	395	0	3	2	7	7	5	0	七星聚首	
28	401	0	4	1	0	0	0	0	貂蝉拜月	
29	403	0	4	1	0	0	0	0	西子捧心	
30	404	0	4	1	0	0	0	0	金顶绵掌	
31	415	0	4	1	0	0	0	0	障眼法	
32	421	0	4	1	0	0	0	0	九阴神爪	
33	406	0	4	5	3	3	7	0	佛光普照	
34	407	0	4	5	1	0	0	0	冲虚养气	
35	424	0	4	5	2	0	0	0	清心普善咒	
36	431	0	5	1	0	0	0	0	蓝砂手	
37	432	0	5	2	0	5	3	0	连珠腐尸毒	
38	433	0	5	1	0	0	0	0	幽冥神掌	
39	437	0	5	1	0	0	0	0	笑里藏刀	
40	441	0	5	1	0	0	0	0	青蛇毒掌	
41	445	0	5	1	0	0	0	0	冰蚕毒掌	
42	451	0	5	1	0	0	0	0	化骨绵掌	
43	455	0	5	1	0	0	0	0	一日丧命散	
44	461	0	6	1	0	0	0	0	正阳手	
45	462	0	6	2	0	5	3	0	三阳开泰	
46	463	0	6	1	0	0	0	0	一阳指	
47	471	0	6	1	0	0	0	0	欲擒故纵	
48	475	0	6	1	0	0	0	0	雪拥蓝关	
49	481	0	6	1	0	0	0	0	少泽剑	
50	487	0	6	1	0	0	0	0	商阳剑	
51	491	3268	7	1	0	0	0	0	雁南飞	
52	492	0	7	2	0	5	3	0	鹰击长空	
53	493	0	7	1	0	0	0	0	凤舞九天	
54	498	0	7	3	108	0	0	0	移花接木	
55	501	0	7	1	0	0	0	0	雪花六出	
56	505	0	7	1	0	0	0	0	梅花三弄	
57	507	0	7	1	0	0	0	0	寒梅怒放	
58	511	0	7	1	0	0	0	0	同生共死	
59	521	0	8	1	0	0	0	0	落英剑	
60	523	0	8	1	0	0	0	0	弹指神功	
61	533	0	8	1	0	0	0	0	潇湘夜雨	
62	535	0	8	1	0	0	0	0	溪山行旅	
63	541	0	8	1	0	0	0	0	鲲跃北溟	
64	544	0	8	2	0	15	3	0	定海神针	
65	545	0	8	3	120	0	0	0	步步生花	
66	696	0	-1	7	50	0	0	0	血祭	
67	697	0	-1	7	50	1	0	0	高级血祭	
68	686	0	-1	6	50	0	0	0	共生	
69	687	0	-1	6	50	1	0	0	高级共生	
70	760	0	10	1	0	0	0	0	余音袅袅	
71	761	0	10	1	0	0	0	0	寒江雪	
72	763	0	10	1	0	0	0	0	碣石调	
73	769	0	10	1	0	0	0	0	凉风有信	
74	771	0	10	1	0	0	0	0	长相思	
75	775	0	10	1	0	0	0	0	如梦令	
76	785	0	10	1	0	0	0	0	弦弄花影	
