INT	INT	INT	STRING
INT	INT	INT	STRING
1	3	-1	嵩山	
2	4	-1	太湖	
3	5	-1	镜湖	
4	6	-1	无量山	
5	7	-1	剑阁	
6	8	-1	敦煌	
7	18	-1	雁南	
8	19	-1	雁北	
9	20	-1	草原	
10	21	-1	辽西	
11	22	-1	长白山	
12	23	-1	黄龙府	
13	24	-1	洱海	
14	25	-1	苍山	
15	26	-1	石林	
16	27	-1	玉溪	
17	28	-1	南诏	
18	29	-1	苗疆	
19	30	-1	西湖	
20	31	-1	龙泉	
21	32	-1	武夷	
22	33	-1	梅岭	
23	34	-1	南海	
24	35	-1	琼州	
25	39	-1	玄武岛	
26	73	-1	无量山2	
27	74	-1	无量山3	
28	75	-1	剑阁2	
29	76	-1	剑阁3	
30	121	-1	西湖	
31	123	-1	宝藏洞一层	
32	126	-1	宝藏洞二层	
33	148	-1	宝藏洞三层	
34	149	-1	宝藏洞四层	
35	150	-1	宝藏洞五层	
36	156	-1	大军草料场	
37	157	-1	苗人洞	
38	158	-1	圣兽山	
39	159	-1	燕王古墓一层	
40	160	-1	燕王古墓二层	
41	161	-1	燕王古墓三层	
42	162	-1	燕王古墓四层	
43	163	-1	燕王古墓五层	
44	164	-1	燕王古墓六层	
45	165	-1	燕王古墓七层	
46	166	-1	燕王古墓八层	
47	167	-1	燕王古墓九层	
48	168	-1	山洞船坞	
49	169	-1	剑冢	
50	170	-1	摩崖洞	
51	171	-1	野人沟	
52	172	-1	温泉洞	
53	173	-1	黄龙洞	
54	174	-1	水晶湖	
55	175	-1	先王坟	
56	176	-1	天坑树洞	
57	177	-1	桃花源	
58	178	-1	海贼洞	
59	179	-1	雪狼湖	
60	188	-1	银皑雪原	
61	201	-1	撒马尔罕	
62	202	-1	圣火宫	
63	203	-1	秦皇地宫四层	
64	400	-1	秦皇地宫一层	
65	401	-1	秦皇地宫二层	
66	402	-1	秦皇地宫三层	
67	415	-1	盐湖	
68	423	-1	火焰山	
69	424	-1	高昌	
70	425	-1	塔里木	
71	427	-1	塔克拉玛干	
72	431	-1	大宛	
73	432	-1	汗血岭	
74	433	-1	昆仑山	
75	434	-1	昆仑福地	
76	435	-1	天劫楼一层	
77	436	-1	天劫楼二层	
78	437	-1	天劫楼三层	
79	438	-1	天劫楼四层	
80	439	-1	天劫楼五层	
81	440	-1	天劫楼六层	
82	441	-1	天劫楼七层	
83	444	-1	清源	
84	445	-1	清源山洞	
85	517	-1	白沙盐坑	
86	519	-1	火焰谷	
87	520	-1	高昌迷宫	
88	17012	-1	秦皇地宫四层	
89	17013	-1	秦皇地宫四层	
90	17014	-1	秦皇地宫四层	
91	17015	-1	秦皇地宫四层	
92	17016	-1	秦皇地宫四层	
93	17017	-1	秦皇地宫四层	
94	17018	-1	秦皇地宫四层	
95	17019	-1	秦皇地宫四层	
96	17020	-1	秦皇地宫四层	
97	17021	-1	秦皇地宫四层	
98	17022	-1	秦皇地宫四层	
99	17023	-1	秦皇地宫四层	
100	17024	-1	秦皇地宫四层	
101	17025	-1	秦皇地宫四层	
102	17026	-1	秦皇地宫四层	
103	17027	-1	秦皇地宫四层	
104	17028	-1	秦皇地宫四层	
105	17029	-1	秦皇地宫四层	
106	17030	-1	秦皇地宫四层	
107	17031	-1	秦皇地宫四层	
108	17137	-1	帝陵·麒麟一	
109	17138	-1	帝陵·麒麟二	
110	17139	-1	帝陵·麒麟三	
111	17140	-1	帝陵·麒麟四	
112	17141	-1	帝陵·麒麟五	
113	1308	-1	秦宫秘境一层	
114	1309	-1	秦宫秘境二层	
115	1310	-1	秦宫秘境三层	
116	1311	-1	沉月岛	
117	1312	-1	地火岛	
118	1313	-1	繁林岛	
119	1314	-1	清湖蜃景	
120	1315	-1	密林蜃景	
121	1316	-1	熔岩蜃景	
