INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
Index	CampId	ItemId	ItemName	ItemNum	预留	是否开放	消耗代币数量	周限制购买数量	绑定显示	排序权重
1	1	20600002	高级长春玉	1	1	1	10000	30	1	1
2	1	20600003	超级长春玉	1	1	1	20000	20	1	2
3	1	38002799	明镜铸图礼盒	1	0	1	1500	25	1	3
4	1	38002800	双刺铸图礼盒	1	0	1	1500	25	1	4
5	1	38002812	不老石符	1	0	1	400	1	1	5
6	1	38002817	地阶解绑令	1	0	1	6000	10	1	6
7	1	38002818	天阶解绑令	1	0	1	52000	10	1	7
8	2	20600002	高级长春玉	1	1	1	10000	30	1	1
9	2	20600003	超级长春玉	1	1	1	20000	20	1	2
10	2	38002801	锁甲铸图礼盒	1	0	1	1500	25	1	3
11	2	38002802	玉钩铸图礼盒	1	0	1	1500	25	1	4
12	2	38002812	不老石符	1	0	1	400	1	1	5
13	2	38002817	地阶解绑令	1	0	1	6000	10	1	6
14	2	38002818	天阶解绑令	1	0	1	52000	10	1	7
15	3	20600002	高级长春玉	1	1	1	10000	30	1	1
16	3	20600003	超级长春玉	1	1	1	20000	20	1	2
17	3	38002803	锦带铸图礼盒	1	0	1	1500	25	1	3
18	3	38002804	短匕铸图礼盒	1	0	1	1500	25	1	4
19	3	38002812	不老石符	1	0	1	400	1	1	5
20	3	38002817	地阶解绑令	1	0	1	6000	10	1	6
21	3	38002818	天阶解绑令	1	0	1	52000	10	1	7
