INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
Index	CampId	ItemId	ItemName	ItemNum	预留	是否开放	消耗代币数量	周限制购买数量	绑定显示	排序权重
1	1	38002771	分山锄	1	0	1	10	5	1	1
2	2	38002771	分山锄	1	0	1	10	5	1	1
3	3	38002771	分山锄	1	0	1	10	5	1	1
4	1	20600009	流光天鉴明镜铸图	1	1	1	10	5	1	1
5	1	20600010	流光天鉴双刺铸图	1	1	1	10	5	1	1
6	2	20600011	流光天鉴锁甲铸图	1	1	1	10	5	1	1
7	2	20600012	流光天鉴玉钩铸图	1	1	1	10	5	1	1
8	3	20600013	流光天鉴锦带铸图	1	1	1	10	5	1	1
9	3	20600014	流光天鉴短匕铸图	1	1	1	10	5	1	1
10	1	20600015	暮雨天鉴明镜铸图	1	1	1	10	5	1	1
11	1	20600016	暮雨天鉴双刺铸图	1	1	1	10	5	1	1
12	2	20600017	暮雨天鉴锁甲铸图	1	1	1	10	5	1	1
13	2	20600018	暮雨天鉴玉钩铸图	1	1	1	10	5	1	1
14	3	20600019	暮雨天鉴锦带铸图	1	1	1	10	5	1	1
15	3	20600020	暮雨天鉴短匕铸图	1	1	1	10	5	1	1
16	1	20600021	星辉天鉴明镜铸图	1	1	1	10	5	1	1
17	1	20600022	星辉天鉴双刺铸图	1	1	1	10	5	1	1
18	2	20600023	星辉天鉴锁甲铸图	1	1	1	10	5	1	1
19	2	20600024	星辉天鉴玉钩铸图	1	1	1	10	5	1	1
20	3	20600025	星辉天鉴锦带铸图	1	1	1	10	5	1	1
21	3	20600026	星辉天鉴短匕铸图	1	1	1	10	5	1	1
22	1	20600027	轻风天鉴明镜铸图	1	1	1	10	5	1	1
23	1	20600028	轻风天鉴双刺铸图	1	1	1	10	5	1	1
24	2	20600029	轻风天鉴锁甲铸图	1	1	1	10	5	1	1
25	2	20600030	轻风天鉴玉钩铸图	1	1	1	10	5	1	1
26	3	20600031	轻风天鉴锦带铸图	1	1	1	10	5	1	1
27	3	20600032	轻风天鉴短匕铸图	1	1	1	10	5	1	1
28	1	20600033	夜雪天鉴明镜铸图	1	1	1	10	5	1	1
29	1	20600034	夜雪天鉴双刺铸图	1	1	1	10	5	1	1
30	2	20600035	夜雪天鉴锁甲铸图	1	1	1	10	5	1	1
31	2	20600036	夜雪天鉴玉钩铸图	1	1	1	10	5	1	1
32	3	20600037	夜雪天鉴锦带铸图	1	1	1	10	5	1	1
33	3	20600038	夜雪天鉴短匕铸图	1	1	1	10	5	1	1
34	1	20600039	御雷天鉴明镜铸图	1	1	1	10	5	1	1
35	1	20600040	御雷天鉴双刺铸图	1	1	1	10	5	1	1
36	2	20600041	御雷天鉴锁甲铸图	1	1	1	10	5	1	1
37	2	20600042	御雷天鉴玉钩铸图	1	1	1	10	5	1	1
38	3	20600043	御雷天鉴锦带铸图	1	1	1	10	5	1	1
39	3	20600044	御雷天鉴短匕铸图	1	1	1	10	5	1	1
