INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序号	Level	实际奖励	宋奖励	奖励数量	Pro数量	实际奖励	辽奖励	数量	Pro数量	封赏物品	数量	Pro数量	封赏物品	数量	Pro数量	荣誉Show	Num	VictoryNum	RankNum	LossNum	(Pro)Num	VictoryNum	RankNum	LossNum
1	80	10141915	39920094	1	1	10141916	39920095	1	1	38002228	2	1	38002228	1	1	39920091	200	100	200	60	200	100	200	60	
2	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	180	100	180	60	180	100	180	60	
3	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	160	100	160	60	160	100	160	60	
4	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60	
5	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60	
6	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60	
7	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60	
8	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60	
9	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60	
10	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	140	100	140	60	140	100	140	60	
11	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
12	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
13	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
14	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
15	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
16	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
17	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
18	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
19	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
20	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	110	100	110	60	110	100	110	60	
21	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
22	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
23	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
24	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
25	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
26	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
27	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
28	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
29	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
30	80	-1	-1	0	0	-1	-1	0	0	38002228	2	1	38002228	1	1	39920091	80	100	80	60	80	100	80	60	
