INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INDEX	ID	Name	Num	预留	预留	yuanbaonum	日限额	周限额	月限额	永久限额	是否绑定显示	DataID
1	38003680	碎星垣	1	0	1	358000	1	0	0	0	1	1
2	38003679	眠云卧月	1	0	1	358000	1	0	0	0	1	2
3	38003683	百相绘卷·衔月	1	1	1	558000	1	0	0	0	1	3
4	38003670	剑意浓	1	1	1	358000	1	0	0	0	1	4
5	38003327	荆风游	1	1	1	358000	1	0	0	0	1	5
6	38003583	金羽剑匣	1	1	1	458000	1	0	0	0	1	6
7	38003584	银霜剑匣	1	1	1	458000	1	0	0	0	1	7
8	38003425	赤夜凰影	1	1	1	358000	1	0	0	0	1	8
9	38003565	龙佑九州	1	1	1	358000	1	0	0	0	1	9
10	38003587	湛金枪	1	1	1	358000	1	0	0	0	1	10
11	38003216	紫青宝剑	1	1	1	358000	1	0	0	0	1	10
12	38003663	驱邪	1	1	1	358000	1	0	0	0	1	10
