INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	848	183.476196	181.678299
2	848	207.291107	71.252502
3	848	114.507599	81.631203
4	848	44.2034	158.895096
5	848	53.910198	51.308601
6	849	149.030807	152.077698
7	849	59.5495	142.776001
8	849	47.325298	80.601402
9	850	201	76
10	850	187	41
11	850	122	170
12	850	78.401604	135.080505
13	851	205.350403	190.351898
14	851	194.846405	67.888199
15	851	133.271805	103.847504
16	851	73.502502	90.477097
17	851	78.534599	81.094803
18	852	73.390602	144.352493
19	852	86.6632	75.012497
20	852	70	72
21	852	169	110
22	852	155	220
23	853	131	126
24	853	50	88
25	853	86	66
26	853	163	86
27	854	194.685303	197.732895
28	854	173.639404	35.7658
29	854	166.710602	98.655197
30	854	107.0905	47.061901
31	854	75.623802	196.260193
32	854	63.529499	171.598694
33	855	173.232697	161.766006
34	855	121.9356	54.643101
35	855	130.255905	101.570297
36	855	74.315903	208.601303
37	856	162.293701	142.443802
38	856	164.034393	46.632
39	856	50.798801	186.438202
40	857	168.971802	213.964493
41	857	147.203094	213.204407
42	857	206.7117	104.525497
43	857	127.0979	159.205307
44	857	42.93	157.306503
45	857	41.062801	54.046902
46	858	149.849106	183.790695
47	858	150.415405	101.050499
48	858	145.608704	54.6759
49	858	82.029297	71.8545
50	859	176.7314	207.186203
51	859	157.009201	84.809998
52	859	81.067497	157.875
53	863	65.218399	62.195099
54	864	70.093399	71.388199
55	866	75.883202	177.341599
56	867	78.774597	183.912399
57	868	72.7285	183.912506
58	869	145.684402	190.213394
59	870	138.880798	219.753204
60	871	152.596695	210.545105
