INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	808	139	174
2	808	112	167
3	808	148	124
4	808	144	118
5	808	72	48
6	808	88	55
7	808	86	26
8	808	126	29
9	808	132	30
10	808	135	118
11	808	121	150
12	808	87	66
13	808	187	90
14	808	237	87
15	808	187	167
16	809	109	184
17	809	130	150
18	809	98	169
19	809	117	187
20	809	141	170
21	809	202	104
22	809	178	115
23	809	206	146
24	809	220	154
25	809	213	154
26	809	203	158
27	809	73	108
28	809	124	150
29	809	67	116
30	809	110	183
31	810	43	200
32	810	37	205
33	810	54	193
34	810	80	164
35	810	89	168
36	810	132	178
37	810	129	192
38	810	190	75
39	810	176	74
40	810	169	63.5
41	810	171	32
42	810	104	177
43	810	221	157
44	810	100	169
45	810	88	177
