INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	7	162.7982	275.445
2	7	148.5631	282.162
3	7	149.7425	277.0974
4	7	144.9451	276.6235
5	7	122.9182	285.2423
6	7	87.6605	274.2406
7	7	86.4848	278.2328
8	7	95.1445	288.2993
9	7	66.4426	283.9998
10	7	67.7641	274.73
11	7	70.51	265.951
12	7	74.7651	261.4468
13	7	83.3966	252.8438
14	7	50.6732	283.9558
15	7	58.916	271.6055
16	7	70.9059	254.3032
17	7	43.9026	239.0804
18	7	55.2237	231.3904
19	7	63.2405	206.1251
20	7	59.5287	220.9179
21	7	41.5763	205.8326
22	7	50.901	200.2913
23	7	40.6888	168.4186
24	7	59.3692	177.7873
25	7	49.7091	129.8868
26	7	48.9444	119.2985
27	7	42.5966	93.5261
28	7	47.7057	92.7435
29	7	39.3067	50.3486
30	7	41.3512	48.5703
31	7	44.2603	47.9447
32	7	60.2137	51.9387
33	7	67.1482	61.6933
34	7	71.0328	64.9555
35	7	91.8378	105.4074
36	7	122.6481	110.7649
37	7	141.997	118.8303
38	7	140.7658	131.4488
39	7	97.3735	55.8053
40	7	87.6925	51.4178
41	7	95.299	65.689
42	7	116.9576	69.2438
43	7	119.6038	55.9748
44	7	121.3511	63.9727
45	7	116.1375	60.4405
46	7	117.739	44.1591
47	7	153.0984	44.3538
48	7	150.2115	43.0781
49	7	144.3856	46.7061
50	7	163.4452	46.1585
51	7	172.7531	63.8424
52	7	169.9178	68.8516
53	7	185.6864	63.6836
54	7	184.9638	67.3496
55	7	162.8547	88.3092
56	7	158.7921	86.6288
57	7	181.3377	81.643
58	7	182.2133	78.3006
59	7	197.3723	65.6436
60	7	195.0752	67.9212
61	7	270.4482	36.6266
62	7	260.4303	34.5634
63	7	280.2746	42.2724
64	7	271.4167	83.7723
65	7	271.9709	79.3443
66	7	253.383	97.4088
67	7	269.7717	139.3488
68	7	232.7743	158.9256
69	7	218.9882	166.5693
70	7	219.0453	194.1394
71	7	196.4455	191.2699
72	7	151.1083	179.3419
73	7	133.7809	189.2388
74	7	142.0899	184.2828
75	7	164.6666	210.6054
76	7	230.982	182.4232
77	7	220.3675	216.5761
78	7	241.1102	235.7153
79	7	254.9895	260.9632
80	7	198.2716	253.9065
81	7	207.7478	266.2576
82	7	200.1531	284.3645
83	7	164.5908	239.0786
84	7	190.0014	220.9329
85	7	118.8902	204.4077
86	7	116.0373	252.2467
87	7	134.06	248.225
88	7	254.5811	190.0823
89	7	278.7828	183.9547
90	7	242.2426	122.3434
91	7	183.2562	110.9027
92	7	124.6492	127.9532
93	7	77.5208	159.7065
94	7	78.809	186.5549
95	7	98.7202	211.8162
96	117	131.1164	166.6878
97	117	124.5949	153.5885
98	117	151.0249	157.6332
99	117	114.7919	181.3953
100	117	148.3149	210.5924
101	117	167.1642	224.2384
102	117	177.2892	205.5639
103	117	150.6664	264.7732
104	117	140.4695	283.9951
105	117	134.3421	256.285
106	117	108.617	249.0834
107	117	52.03	160.0176
108	117	60.6567	162.2992
109	117	70.5304	199.6985
110	117	65.8331	225.8309
111	117	47.9099	265.8347
112	117	64.5354	226.7639
113	117	33.9826	202.8424
114	117	37.6009	170.7793
115	117	54.597	160.746
116	117	83.0827	115.3621
117	117	53.6285	105.2196
118	117	110.5942	130.5551
119	117	150.4247	172.9183
120	117	110.5029	190.0659
121	117	77.4977	215.5034
122	117	55.5424	256.2346
123	117	94.709	235.979
124	117	114.9906	239.2121
125	117	132.1982	263.2826
126	117	160.7367	267.1317
127	117	176.5549	279.1635
128	117	267.4489	151.2196
129	117	259.4742	129.5739
130	117	249.1705	115.6826
131	117	243.3416	116.5539
132	117	238.5005	84.9361
133	117	253.6012	76.9561
134	117	253.6068	62.9528
135	117	133.2083	50.821
136	118	107.3881	204.3345
137	118	121.4865	227.3896
138	118	126.8182	211.824
139	118	137.4026	212.4217
140	118	93.2624	185.8011
141	118	98.5997	165.8132
142	118	116.355	175.7178
143	118	41.8785	200.3798
144	118	49.464	195.6328
145	118	65.8099	137.7102
146	118	82.2642	118.8177
147	118	106.9624	100.6428
148	118	136.6305	111.2748
149	118	152.6355	129.3995
150	118	153.1781	112.9988
151	118	171.1699	125.6825
152	118	178.7751	75.2366
153	118	175.9025	91.5864
154	118	190.4068	111.9559
155	118	196.3793	72.5841
156	118	214.4695	90.4682
157	118	210.7982	114.5172
158	118	256.737	84.221
159	118	245.4742	104.0357
160	118	257.2734	128.254
161	118	260.5121	166.3638
162	118	249.7162	179.1819
163	118	268.2857	195.9693
164	118	253.9556	223.389
165	118	216.9206	199.9029
166	118	206.2729	210.7394
167	118	201.395	228.4553
168	118	228.7514	247.8836
169	118	216.8566	258.6979
170	118	133.8141	278.2553
171	118	118.4671	271.3317
172	118	123.7999	257.7582
173	118	91.4809	280.3469
174	118	85.4915	265.1739
175	118	72.7545	277.6623
176	118	67.3872	268.1221
177	118	54.7596	272.9488
178	118	68.1763	242.5846
179	118	77.4414	239.0395
180	118	45.8831	231.3466
181	118	54.6622	226.3587
182	118	67.4287	222.2535
183	118	71.7096	213.9934
184	118	40.5958	202.0142
185	118	53.6887	195.4229
186	118	71.6487	162.2785
187	118	59.1035	145.3708
188	118	74.5287	128.2597
189	118	87.9303	144.1577
190	118	89.3588	154.0767
191	118	98.1194	155.4603
192	118	111.9895	172.9371
193	118	122.9684	162.2615
194	118	115.4947	152.4238
195	118	108.4812	143.799
196	118	242.46	200.43
197	118	243.41	199.91
198	118	243	201.17
199	118	243.99	199.83
200	118	244.17	200.48
201	118	243.25	200.6
202	118	244.72	199.77
203	118	245.03	200.46
204	118	244.97	200.6
205	118	248.7	196.49
206	118	249.12	197
207	118	249.09	195.67
208	118	249.67	197.21
209	118	249.97	196.24
210	118	250.52	197.89
211	118	253.12	199.25
212	118	253.75	198.76
213	118	253.25	198.41
214	118	252.67	198.84
215	119	252.47	199.74
216	119	252.58	198.19
217	119	252.16	198.86
218	119	54.7181	58.424
219	119	39.5101	85.0696
220	119	81.8895	80.6228
221	119	75.6759	93.0735
222	119	93.0743	53.6454
223	119	119.9941	35.8464
224	119	135.695	51.3798
225	119	127.0693	56.9658
226	119	157.1172	52.5632
227	119	151.6272	65.7653
228	119	203.2878	47.533
229	119	174.5601	79.3194
230	119	206.3305	91.3296
231	119	219.8517	82.8872
232	119	241.7382	64.8126
233	119	266.2964	40.6866
234	119	265.4537	69.3502
235	119	243.8169	83.8966
236	119	244.1503	99.784
237	119	184.2669	104.7706
238	119	210.8417	111.8976
239	119	234.7798	160.3352
240	119	254.5731	150.8105
241	119	260.8406	160.6346
242	119	277.5298	203.8109
243	119	280.0611	196.1644
244	119	279.6721	166.3912
245	119	239.5429	181.9991
246	119	206.9944	197.3781
247	119	178.4501	208.2342
248	119	178.4359	217.4437
249	119	143.3324	238.098
250	119	180.6376	250.7085
251	119	184.2737	274.7595
252	119	174.5371	279.979
253	119	194.9985	279.3222
254	119	124.52	278.8629
255	119	106.1242	264.4065
256	119	97.0545	280.4145
257	119	82.9491	266.0782
258	119	72.0718	261.0421
259	119	50.8429	277.6808
260	119	52.004	265.9056
261	119	44.1856	252.5135
262	119	51.9238	225.5109
263	119	73.8163	241.7841
264	119	95.5063	220.5408
265	119	121.0894	198.1446
266	119	152.2513	197.6272
267	119	128.5415	169.9508
268	119	110.7353	177.8164
269	119	89.7163	152.1071
270	119	51.3436	143.073
271	119	56.8217	158.7071
272	119	53.7301	123.4151
273	119	59.546	104.894
274	119	131.9762	120.861
275	119	108.6658	108.532
276	119	140.4718	140.8817
277	119	112.7147	159.8466
