INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	820	180.899994	92.5
2	820	164.432693	100.835999
3	820	136.767105	123.501503
4	820	199.227798	152.257202
5	820	204.349792	216.765594
6	820	70.5653	104.719902
7	820	76.587601	67.8312
8	820	97.503304	52.399601
9	820	106.599998	63.200001
10	820	118.816399	51.867199
11	820	103.629204	89.172203
12	821	190.370407	92.998497
13	821	127.868202	130.253403
14	821	50.588501	100.375198
15	821	102.2957	71.303902
16	821	116.953003	59.037201
17	822	145.986496	191.600204
18	822	45.999001	96.335899
19	823	201.931793	111.9972
20	823	131.644394	123.500801
21	823	145.738098	97.147301
22	823	152.422806	153.292801
23	823	191.748306	208.449905
24	823	137.189301	209.004395
25	823	49.0476	145.092194
26	823	49.2673	119.181503
27	823	71.911697	104.989601
28	823	56.062901	98.280502
29	824	213.8694	179.328705
30	824	98.961197	179.448898
31	824	55.9865	105.225601
32	824	102.832397	94.769302
33	825	160.172806	121.911201
34	825	152.816406	144.223999
35	825	96.4384	48.413799
36	826	170.399994	78
37	826	197.968903	67.208801
38	826	188.016006	90.360001
39	826	213.293701	117.352898
40	826	192.781006	150.645996
41	826	200.600006	213.815399
42	826	133.007294	192.928604
43	826	101.134201	198.848602
44	826	56.656898	128.625504
45	826	67.039803	43.415199
46	827	195.136902	108.274002
47	827	120.943901	95.839104
48	827	123.275002	124.582603
49	827	192.5	177.899994
50	827	130.833298	199.108398
51	828	133.2686	141.0569
52	828	66.539803	104.717796
53	828	115.883102	94.231598
54	829	171.057098	101.097099
55	829	137.100006	120.099998
56	829	196.541794	151.453598
57	829	213.481796	187.837799
58	829	210.718994	201.985901
59	829	208.570007	211.886795
60	829	196.595306	209.545303
61	829	101.670097	185.333298
62	829	61.200001	113.699997
63	829	71.2798	56.418499
64	830	163.396301	103.471397
65	830	136.505798	144.292099
66	830	200	189
67	830	204.609802	208.186707
68	830	137.827393	200.108597
69	830	134.024094	68.607201
70	831	184.544098	109.106102
71	831	215.494995	208.641098
72	831	78.684402	124.8479
73	831	94.571602	50.799301
74	832	125.741898	84.643997
75	833	119.344803	92.374001
76	836	58.232201	135.374496
77	837	65.335403	126.4757
78	840	184.274597	66.153297
79	841	189.542801	75.371803
80	843	184.548096	73.786003
81	844	192.201706	166.336105
82	845	203.564804	163.288101
83	846	211.305206	172.673294
84	847	191.033905	184.594604
