INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	820	64.152496	66.756401
2	820	66.693497	117.358299
3	820	147.4785	199.107498
4	820	119.429199	211.317596
5	820	95.984802	192.979904
6	820	188.776505	107.317001
7	820	206.600006	97.663498
8	820	176.205002	79.762802
9	820	162.587494	109.264999
10	820	116.771797	76.0588
11	821	80.818001	102.419403
12	821	132.994904	139.900299
13	821	112.040497	196.656906
14	821	191.068497	111.413498
15	821	102.980301	56.648602
16	823	78.904602	97.553902
17	823	113.668602	148.384293
18	823	114.264297	204.335007
19	823	68.761497	186.067505
20	823	172.039902	188.988403
21	823	188.980698	97.174004
22	823	121.890099	80.317596
23	823	96.689499	59.9207
24	823	58.154499	196.860199
25	826	58.994701	103.323502
26	826	109.785301	124.512604
27	826	139.343704	147.227295
28	826	100.679199	190.241302
29	826	122.028099	217.818207
30	826	93.306198	201.597107
31	826	81.457603	191.799393
32	826	152.673096	201.569107
33	826	186.374207	88.2155
34	826	138.363602	101.453499
35	826	111.196999	70.787903
36	827	122.253998	114.731796
37	827	111.049698	209.203903
38	827	141.553101	215.513901
39	827	117.529099	222.092499
40	827	181.148895	183.527603
41	827	154.287796	87.926804
42	828	122.743896	148.957703
43	828	155.772903	191.770401
44	828	173.043793	80.259804
45	828	108.050598	63.1035
46	829	61.712002	119.605499
47	829	69.670998	101.743401
48	829	78.865997	99.974602
49	829	58.8172	139.750107
50	829	111.000801	105.942596
51	829	135.706604	134.779999
52	829	151.474503	207.837906
53	829	187.154404	126.4692
54	829	170.894302	73.232498
55	829	165.516205	108.535698
56	829	98.866203	55.340199
57	829	63.442501	201.354797
58	830	65.161797	111.7099
59	830	81.0448	112.237801
60	830	61.553101	138.009796
61	830	145.265305	153.388199
62	830	151.719193	208.581299
63	830	164.769897	108.539902
64	831	80.330704	101.442902
65	832	191.452103	76.3675
66	833	198.4608	86.040802
67	834	194.593994	82.6549
68	838	141.084396	136.984299
69	840	60.2967	191.791397
70	841	69.009102	197.023605
71	843	73.995399	187.058395
72	844	54.307098	105.297401
73	845	48.6362	119.847198
74	846	47.153099	111.7099
