INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	820	76.760002	189.989105
2	820	150.300003	173.699997
3	820	81.572502	74.962997
4	820	80.231102	55.367298
5	820	65.819397	83.610001
6	820	51.677601	126.509903
7	820	61.318298	139.632904
8	820	84.8843	138.294403
9	820	57.585201	159.176102
10	820	116.5	150.399994
11	821	194.703003	122.987198
12	823	58.154499	196.860199
13	823	89.581902	203.547806
14	823	195.895004	146.227005
15	823	190.185898	94.070602
16	823	202.209198	80.103798
17	823	65.198097	58.320202
18	823	55.499401	53.5886
19	823	73.437698	77.780197
20	823	97.626099	149.097504
21	823	149.629501	174.459
22	823	135.056503	174.818893
23	825	60.064301	170.733597
24	825	191.574402	147.309692
25	825	82.710503	66.832001
26	826	160.777603	215.760696
27	826	185.356796	120.545403
28	826	192.024902	127.845398
29	826	203.632996	125.685501
30	826	193.667297	93.275597
31	826	137.961807	90.762703
32	826	159.157394	61.5149
33	826	207.013794	76.359398
34	826	60.140499	149.479202
35	826	125.607803	169.419998
36	827	66.875603	182.587402
37	827	173.468994	200.849792
38	827	195.893997	144.875198
39	827	199.246002	79.0224
40	827	86.488197	141.777206
41	827	125.877701	158.616104
42	828	184.856506	150.839203
43	828	73.7883	61.0047
44	828	78.997299	138.828705
45	828	129.118195	176.987793
46	829	63.442501	201.354797
47	829	51.539501	180.736496
48	829	165.092896	206.2686
49	829	187.508896	203.053406
50	829	159.8414	76.599197
51	829	84.259201	58.323002
52	829	67.606903	71.467003
53	829	86.414597	81.1502
54	829	69.883904	144.723007
55	829	121.557701	146.745102
56	829	110.917	107.788399
57	830	171.871399	219.2827
58	830	175.122498	208.739807
59	830	156.155807	170.284698
60	830	130.197296	139.184006
61	830	88.2938	62.363998
62	831	47.246399	190.836807
63	831	110.070198	214.555801
64	831	103.3153	147.983597
65	832	51.6539	100.790604
66	833	56.676899	107.4673
67	835	51.653702	117.400497
68	836	126.687798	154.839996
69	837	124.258003	163.209793
70	838	125.878197	145.935104
71	840	200.057205	107.8843
72	841	203.372803	118.664803
73	843	187.456207	95.165901
74	844	149.875198	204.319199
75	845	147.510696	214.364594
76	846	157.520905	211.406693
77	847	148.870895	219.262207
