INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	848	167.991302	156.898407
2	848	106.775002	221.481796
3	848	69.5672	190.302094
4	848	72.366402	179.855698
5	848	129.335403	110.909798
6	849	64.746498	194.088104
7	849	136.969803	149.269501
8	849	157.815201	97.592796
9	850	152	131
10	850	111	100
11	850	65	183
12	850	51	169
13	851	182.466507	219.857803
14	851	153.788605	180.544998
15	851	45.200001	146.300003
16	851	54.7169	74.062698
17	851	77.765198	74.839203
18	851	116.468399	113.007896
19	853	141	137
20	853	120	173
21	853	73	48
22	853	73	77
23	854	138.280594	186.579895
24	854	88.400002	187.699997
25	854	118.568001	106.968697
26	854	187.621704	72.516502
27	854	205.728897	73.026199
28	855	167.995102	142.179794
29	855	155.880707	187.361099
30	855	191.166107	46.620701
31	856	209.238205	181.935593
32	856	162.211807	138.236206
33	856	217.667999	76.395798
34	857	180.9039	214.760498
35	857	194.231796	196.116699
36	857	139.859604	194.209198
37	857	47.400002	156.800003
38	857	138.545898	110.901901
39	857	174.588699	92.774101
40	858	188.746307	225.099503
41	858	166.946304	143.493698
42	858	105.4935	221.714005
43	858	145.789993	45.499901
44	859	197.019699	142.5065
45	859	147.235703	195.289597
46	859	100.110603	219.361206
47	860	58.3479	173.229202
48	861	67.024399	174.491898
49	866	204.204102	53.894901
50	867	216.728897	50.080299
51	868	190.689102	62.820702
52	871	152.010605	164.132294
