INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	848	45.871399	93.643402
2	848	126.201797	161.140198
3	848	182.9944	149.553497
4	848	141.281998	74.4655
5	848	127.0205	79.334801
6	849	138.010498	176.023804
7	849	188.235596	171.818298
8	849	135.520203	81.318001
9	850	78	88
10	850	137	63
11	850	124	71
12	850	126	126
13	851	78.282898	111.040298
14	851	125.267899	198.376099
15	851	172.875504	147.955399
16	851	213.895203	69.647499
17	853	52	70
18	853	36	66
19	853	186	89
20	853	135	186
21	854	75.932198	54.2346
22	854	82.773804	110.508301
23	854	168.065796	200.043701
24	854	193.338806	200.581406
25	854	182.300003	80.199997
26	855	85.431099	142.769897
27	855	176.971207	205.6241
28	855	180.214706	97.748901
29	855	103.553596	40.9841
30	856	98.629204	109.430099
31	856	112.651199	194.799393
32	856	181.790298	168.558701
33	857	86.785797	193.323105
34	857	78.251701	199.527893
35	857	144.966797	174.037003
36	857	161.341095	142.867905
37	857	202.071899	95.326103
38	857	144.675293	38.127102
39	858	79.114098	57.401299
40	858	92.5	199.199997
41	858	203.162292	94.240898
42	858	138.996902	98.722298
43	859	83.1651	188.412903
44	859	207.747894	157.005997
45	860	133.315598	54.138599
46	863	57.526199	58.650501
47	866	194.150497	178.808807
48	867	196.565399	190.902802
49	868	184.541702	208.247101
50	869	76.687798	178.355392
51	870	77.5345	164.376007
52	871	68.511703	183.412903
