INT	INT	STRING
ÐòºÅ	½Å±¾ID	º¯ÊýÃû
0	311010	OnPopupBargainingUI
1	311010	OnEnumerate
2	311010	OnHaggleDown
3	311010	OnHaggleUp
4	311010	OnTrade
5	311010	OnAcceptMission
6	311010	OnRedeemUI
7	311010	Close_Carriage_UI
8	600022	OnCityAction
9	809266	FinishBind
10	809264	ChangeVisual
11	809262	FinishEnhance
12	809263	EquipLevelUp
13	809265	EquipFaileTimes
14	805027	CalRepairPrice
15	805027	OnEquipRepair
16	801016	AskQuestion
17	801016	AnswerQuestion
18	801016	OnBribe
19	801018	OnDefaultEvent
20	801016	OnOverTime
21	809261	FinishAdjust
22	124	OnDestroy
23	311111	PetInviteFriend_Ask_NewPage
24	800104	PetSavvy
25	311111	PetSkillStudy_Ask_Money
26	311111	PetSkillStudy_Domestication
27	1050	OnInquiryForGrowRate
28	311100	AskQuestion
29	311100	AnswerQuestion
30	311100	OnOverTime
31	801011	ChangeHairColor
32	801010	UnlockAndChangeExteriorHairId
33	801015	OnService
34	888899	BuyYuanbao
35	713591	OnDefaultEvent
36	713589	OnDefaultEvent
37	713567	OnDefaultEvent
38	713568	OnDefaultEvent
39	713595	OnDefaultEvent
40	713569	OnDefaultEvent
41	713565	OnDefaultEvent
42	713588	OnDefaultEvent
43	713566	OnDefaultEvent
44	713592	OnDefaultEvent
45	713571	OnDefaultEvent
46	713578	OnDefaultEvent
47	713590	OnDefaultEvent
48	713594	OnDefaultEvent
49	713596	OnDefaultEvent
50	713573	OnDefaultEvent
51	713561	OnDefaultEvent
52	713579	OnDefaultEvent
53	713572	OnDefaultEvent
54	713563	OnDefaultEvent
55	713574	OnDefaultEvent
56	713587	OnDefaultEvent
57	713586	OnDefaultEvent
58	713593	OnDefaultEvent
59	713576	OnDefaultEvent
60	713577	OnDefaultEvent
61	713575	OnDefaultEvent
62	713562	OnDefaultEvent
63	713570	OnDefaultEvent
64	713564	OnDefaultEvent
65	809262	DoFinishEnhance
66	229009	ExchangeItemBymenpaipointFn
67	229022	ExchangeMissionItemForGoodBadFn
68	229022	CurrentRoundStorageFn
69	229022	ContinueStoredMissionFn
70	229022	CostMoneyFn
71	125	OnMsgAccept
72	311002	LockTime
73	76	OnEventRequest
74	181000	BuyYuanbao
75	332000	DoUseItemReal
76	311012	UpdataDacoityData
77	888898	AloneNpcEvent
78	800106	PetSavvy
79	300039	EatMe
80	300040	EatMe
81	300048	EatMe
82	300047	EatMe
83	300045	EatMe
84	300046	EatMe
85	808007	OnDefaultEvent
86	300056	CallMe
87	805029	UnlockAndChangeExteriorFaceId
88	400121	GotoGumu
89	800107	ResetPetAttrPt
90	800108	ZhuanXingdian
91	800116	OpenShop
92	800116	Buy
93	800116	Sell
94	6673	GiveRose
95	6673	DoUseItemReal
96	300056	UseItem
97	330001	SetPosition
98	809261	FinishReAdjust
99	800117	OnGemCarve
100	888901	CoupleQuestion_ClientAction
101	1031	OnAcceptPetTitle
102	50021	AskQuestion
103	50021	AnswerQuestion
104	50021	OnOverTime
105	50029	AskQuestion
106	50029	AnswerQuestion
107	50029	OnOverTime
108	300024	OnDefaultEvent
109	212104	OnDefaultEvent
110	300052	OnDefaultEvent
111	300053	OnDefaultEvent
112	212112	OnDefaultEvent
113	311010	OnDefaultEvent
114	801016	OnDefaultEvent
115	181000	OnDefaultEvent
116	181002	OnDefaultEvent
117	181003	OnDefaultEvent
118	808071	OnAugury
119	805030	UnlockAndChangeExteriorHeadId
120	229000	OnDefaultEvent
121	229001	OnDefaultEvent
122	229002	OnDefaultEvent
123	229003	OnDefaultEvent
124	229004	OnDefaultEvent
